id,seperator,Key,Value,Count,w,Description,battleArea,spawnPoint,treasureReward,restingArea,questGiver,walkable
barrier_fence,_,barrier,fence,"6 109 792
30.12%",,"A freestanding structure designed to restrict or prevent movement across a boundary, generally distinguished from a wall by the lightness of its construction.",0.1,0.1,0.5,0.1,0.1,0
barrier_gate,_,barrier,gate,"4 363 814
21.51%",,A section in a wall or fence which can be opened to allow access.,0.5,4,1,0.1,1,0.5
barrier_wall,_,barrier,wall,"3 835 003
18.91%",,"A freestanding structure, designed to restrict or prevent movement across a boundary, typically made from solid brick, concrete or rocks, and almost always built so that it is opaque to vision.",0.1,0.1,0.5,0.1,0.1,0
barrier_hedge,_,barrier,hedge,"2 606 131
12.85%",,"A line of closely spaced shrubs and tree species, which form a barrier or mark the boundary of an area.",0.1,0.1,2,0.1,0.1,0
barrier_kerb,_,barrier,kerb,"789 233
3.89%",,"A stone edging to a pavement or raised path (right side is bottom, left side is top).",0.1,0.1,0.5,0.1,0.1,0
barrier_bollard,_,barrier,bollard,"568 341
2.80%",,One or more solid (usually concrete or metal) pillar(s) used to control traffic.,0.1,0.1,0.5,0.1,0.1,0
barrier_lift_gate,_,barrier,lift_gate,"409 948
2.02%",,A bar or pole pivoted (rotates upwards to open) in such a way as to allow the boom to block vehicular access through a controlled point.,1,4,2,0.1,1,2
barrier_retaining_wall,_,barrier,retaining_wall,"392 162
1.93%",,"A structure that holds back soil or rock from a building, structure or area.",0.1,0.1,0.5,0.1,0.1,0
barrier_block,_,barrier,block,"136 846
0.67%",,One or more large immobile block(s) usually barring free access along a way.,0.1,1,2,0.1,0.1,0
barrier_yes,_,barrier,yes,"130 518
0.64%",,"Unspecific barrier value, it is always better to use more specific one if possible",0.1,0.1,0.5,0.1,0.1,0
barrier_guard_rail,_,barrier,guard_rail,"113 604
0.56%",,"A rail, typically metal, designed to keep vehicles within their roadway and prevent dangerous collisions",,,,,,
barrier_cycle_barrier,_,barrier,cycle_barrier,"111 155
0.55%",,A barrier along a path that slows or prevents access for bicycle users.,,,,,,
barrier_stile,_,barrier,stile,"90 199
0.44%",,"A structure which provides people a passage through or over a boundary via steps, ladders or narrow gaps.",,,,,,
barrier_entrance,_,barrier,entrance,"82 111
0.40%",,An opening or gap in a barrier.,,,,,,
barrier_swing_gate,_,barrier,swing_gate,"72 820
0.36%",,A gate consisting of a bar or pole pivoted (rotates sidewards to open) in such a way as to allow the boom to block vehicular access through a controlled point.,,,,,,
barrier_cattle_grid,_,barrier,cattle_grid,"63 905
0.32%",,A hole in the road surface covered in a series of bars that allow wheeled vehicles but not animals to cross.,,,,,,
barrier_ditch,_,barrier,ditch,"59 792
0.29%",,A man made ditch or trench to prevent access to the other side.,,,,,,
barrier_toll_booth,_,barrier,toll_booth,"54 184
0.27%",,A place where a road usage toll or fee is collected.,,,,,,
barrier_city_wall,_,barrier,city_wall,"44 409
0.22%",,A fortification used to defend settlements in ancient to modern times.,,,,,,
barrier_kissing_gate,_,barrier,kissing_gate,"39 563
0.20%",,A type of gate where you have to go into an enclosure and open a gate to get through.,,,,,,
barrier_chain,_,barrier,chain,"30 214
0.15%",,A chain used to prevent motorised vehicles.,,,,,,
barrier_jersey_barrier,_,barrier,jersey_barrier,"18 644
0.09%",,A barrier made of heavy prefabricated blocks.,,,,,,
barrier_sliding_gate,_,barrier,sliding_gate,"14 535
0.07%",,"A section in a wall or fence which slides or rolls to the side to allow access (note: barrier=gate is standard tagging for such objects, this tag is used primarily by [[Grab]] employees).",,,,,,
barrier_height_restrictor,_,barrier,height_restrictor,"14 532
0.07%",,A height restrictor which prevents access of vehicles higher than a set limit.,,,,,,
barrier_turnstile,_,barrier,turnstile,"12 995
0.06%",,"A turnstile, a passage on foot designed to allow one person at a time to pass",,,,,,
barrier_handrail,_,barrier,handrail,"9 185
0.05%",,A rail designed to be grasped by the hand so as to provide stability or support.,,,,,,
barrier_log,_,barrier,log,"7 925
0.04%",,A log blocking access.,,,,,,
access_private,_,access,private,"12 383 201
70.91%",,The feature is not to be used by the general public.,0,0,0,0,0,0
access_yes,_,access,yes,"1 552 236
8.89%",,,2,2,2,2,2,3
access_customers,_,access,customers,"1 204 734
6.90%",,Restricted to customers at the destination.,0.2,0.2,0.2,0.1,0.2,0.2
access_no,_,access,no,"805 117
4.61%",,The object is prohibited to be used by the general public.,0,0,0,0,0,0
access_permissive,_,access,permissive,"713 775
4.09%",,The object is open to general traffic until such time as the owner revoke the permission.,0.3,0.3,0.3,0.1,0.3,0.3
access_destination,_,access,destination,"384 640
2.20%",,"Through traffic of all modes of transportation forbidden, non-through traffic users allowed",0.7,0.7,0.7,0.5,0.7,0.7
access_agricultural,_,access,agricultural,"123 231
0.71%",,Restricted to usage of the road for agricultural purposes (for any type of transportation mode),2,2,2,1,1,3
access_forestry,_,access,forestry,"110 759
0.63%",,Restricted to usage of the road for forestry purposes (with any type of vehicle),3,3,3,1,2,4
access_permit,_,access,permit,"69 717
0.40%",,"Access requires a permit, ordinarily granted",0,0,0,0,0,0
